product_id,granule_id,collection,track,direction,frame,frame_id,Polarization,stac_Frame,OBSID,Platform,Node,DEMCorrection,InputResolutionAlong,Dumping_Date,datetime,InputResolutionAcross,GenerationTime,ID,Scene_Identifier_Scheme,ProductCode,Sat_Spec,Dumping_Orbit,SceneCenterLon,Mode,IncidenceAngle,RCID,Coverage,Look_dir,ImgLatLon,SceneCenterLat,SoftwareVersion,Producer,DEMSource,CycleNumber,SessionNumber,Imaging_Orbit,Instrument,ProdLatLon,Sat_Spec_Scheme,AcquistionMode,Online,updated,Scene_Identifier,stac_Track,Imaging_Date
NISAR_S2_PR_GUNW_025_172_D_128_027_3700_SH_20260720T035430_20260720T035508_20260813T035429_20260813T035507_P00500_M_F_I_001,NISAR_S2_PR_GUNW_025_172_D_128_027_3700_SH_20260720T035430_20260720T035508_20260813T035429_20260813T035507_P00500_M_F_I_001,NISAR_SSAR_GUNW,172,D,128,172_D_128,HH,128,2026225035420,NISAR,Descending,True,5.479584789,13-AUG-2026,2026-08-13T03:54:29Z,5.993008615,2026-08-16T02:19:44,NISAR_S2_PR_GUNW_025_172_D_128_027_3700_SH_20260720T035430_20260720T035508_20260813T035429_20260813T035507_P00500_M_F_I_001,ObsId_Track_Frame,STUCGUFED,NISAR_SSAR_W,5464,-165.4076432,W,41.45491409,247,F,Left,"[[""-169.0314886"", ""-78.38855312""], [""-157.6834404"", ""-79.07656171""], [""-160.5531131"", ""-81.2341438""], [""-174.1860587"", ""-80.41219474""], [""-169.0314886"", ""-78.38855312""]]",-79.83791677,1.4.00,ISRO,Copernicus GLO-30,25,2026225035340,5461,SSAR,"[[""-152.1070166"", ""-80.81177681""], [""-174.2339772"", ""-81.83440193""], [""-175.9353844"", ""-78.44510399""], [""-159.5699981"", ""-77.70583279""], [""-152.1070166"", ""-80.81177681""]]",SAT_SEN_MODE,J,Y,2026-08-16 02:30:03,2026225035420_172_128,172,13-AUG-2026
NISAR_S2_PR_GUNW_025_172_D_127_027_3700_SH_20260720T035417_20260720T035433_20260813T035416_20260813T035432_P00500_M_P_I_001,NISAR_S2_PR_GUNW_025_172_D_127_027_3700_SH_20260720T035417_20260720T035433_20260813T035416_20260813T035432_P00500_M_P_I_001,NISAR_SSAR_GUNW,172,D,127,172_D_127,HH,127,2026225035420,NISAR,Descending,True,5.480462025,13-AUG-2026,2026-08-13T03:54:16Z,5.99287081,2026-08-16T00:23:01,NISAR_S2_PR_GUNW_025_172_D_127_027_3700_SH_20260720T035417_20260720T035433_20260813T035416_20260813T035432_P00500_M_P_I_001,ObsId_Track_Frame,STUCGUFED,NISAR_SSAR_W,5464,-163.102193,W,41.47140884,247,P,Left,"[[""-167.6147593"", ""-77.66573272""], [""-156.9197182"", ""-78.31818201""], [""-157.9012188"", ""-79.25711479""], [""-169.4014782"", ""-78.56014896""], [""-167.6147593"", ""-77.66573272""]]",-78.50223557,1.4.00,ISRO,Copernicus GLO-30,25,2026225035340,5461,SSAR,"[[""-150.7394262"", ""-78.75498864""], [""-168.7642848"", ""-79.99165488""], [""-171.6790979"", ""-76.55146989""], [""-157.584156"", ""-75.61460454""], [""-150.7394262"", ""-78.75498864""]]",SAT_SEN_MODE,J,Y,2026-08-16 00:33:18,2026225035420_172_127,172,13-AUG-2026
NISAR_S2_PR_GUNW_025_142_D_131_027_3700_SH_20260718T015934_20260718T020007_20260811T015933_20260811T020006_P00500_M_P_I_001,NISAR_S2_PR_GUNW_025_142_D_131_027_3700_SH_20260718T015934_20260718T020007_20260811T015933_20260811T020006_P00500_M_P_I_001,NISAR_SSAR_GUNW,142,D,131,142_D_131,HH,131,2026223015632,NISAR,Descending,True,5.476360615,11-AUG-2026,2026-08-11T01:59:33Z,5.999428229,2026-08-16T11:28:33,NISAR_S2_PR_GUNW_025_142_D_131_027_3700_SH_20260718T015934_20260718T020007_20260811T015933_20260811T020006_P00500_M_P_I_001,ObsId_Track_Frame,STUCGUFED,NISAR_SSAR_W,5437,-155.7494208,W,41.38540649,247,P,Left,"[[""-158.505283"", ""-83.31118116""], [""-139.8452481"", ""-84.49661448""], [""-150.5732602"", ""-86.2528422""], [""-172.1657259"", ""-84.67817347""], [""-158.505283"", ""-83.31118116""]]",-84.79632575,1.4.00,ISRO,Copernicus GLO-30,25,2026223015608,5431,SSAR,"[[""-129.9166876"", ""-85.19027448""], [""-169.3061274"", ""-86.85816562""], [""-174.7841361"", ""-83.59178163""], [""-149.9806424"", ""-82.6320062""], [""-129.9166876"", ""-85.19027448""]]",SAT_SEN_MODE,J,Y,2026-08-16 11:43:58,2026223015632_142_131,142,11-AUG-2026
NISAR_S2_PR_GUNW_025_142_D_130_027_3700_SH_20260718T015902_20260718T015937_20260811T015901_20260811T015936_P00500_M_F_I_001,NISAR_S2_PR_GUNW_025_142_D_130_027_3700_SH_20260718T015902_20260718T015937_20260811T015901_20260811T015936_P00500_M_F_I_001,NISAR_SSAR_GUNW,142,D,130,142_D_130,HH,130,2026223015632,NISAR,Descending,True,5.478058816,11-AUG-2026,2026-08-11T01:59:01Z,5.991225152,2026-08-16T09:01:25,NISAR_S2_PR_GUNW_025_142_D_130_027_3700_SH_20260718T015902_20260718T015937_20260811T015901_20260811T015936_P00500_M_F_I_001,ObsId_Track_Frame,STUCGUFED,NISAR_SSAR_W,5437,-146.2957752,W,41.52118301,247,F,Left,"[[""-149.9507065"", ""-81.78508649""], [""-134.312824"", ""-82.73356245""], [""-140.4733612"", ""-84.67175874""], [""-159.5728159"", ""-83.45121545""], [""-149.9507065"", ""-81.78508649""]]",-83.25487541,1.4.00,ISRO,Copernicus GLO-30,25,2026223015608,5431,SSAR,"[[""-126.4692344"", ""-83.37367384""], [""-151.4300368"", ""-85.51268329""], [""-163.5879023"", ""-82.41174197""], [""-143.8026558"", ""-80.98516656""], [""-126.4692344"", ""-83.37367384""]]",SAT_SEN_MODE,J,Y,2026-08-16 09:12:01,2026223015632_142_130,142,11-AUG-2026
NISAR_S2_PR_GUNW_025_142_D_129_027_3700_SH_20260718T015833_20260718T015905_20260811T015832_20260811T015904_P00500_M_F_I_001,NISAR_S2_PR_GUNW_025_142_D_129_027_3700_SH_20260718T015833_20260718T015905_20260811T015832_20260811T015904_P00500_M_F_I_001,NISAR_SSAR_GUNW,142,D,129,142_D_129,HH,129,2026223015632,NISAR,Descending,True,5.479130261,11-AUG-2026,2026-08-11T01:58:32Z,5.993757243,2026-08-16T09:31:19,NISAR_S2_PR_GUNW_025_142_D_129_027_3700_SH_20260718T015833_20260718T015905_20260811T015832_20260811T015904_P00500_M_F_I_001,ObsId_Track_Frame,STUCGUFED,NISAR_SSAR_W,5437,-140.4428363,W,41.47344208,247,F,Left,"[[""-144.4887166"", ""-80.24865951""], [""-131.1368043"", ""-81.05228892""], [""-134.7814847"", ""-82.90876617""], [""-150.7074028"", ""-81.9378662""], [""-144.4887166"", ""-80.24865951""]]",-81.61139789,1.4.00,ISRO,Copernicus GLO-30,25,2026223015608,5431,SSAR,"[[""-125.0438515"", ""-81.61286579""], [""-141.69708"", ""-83.85818682""], [""-154.8372118"", ""-81.05606431""], [""-139.7007484"", ""-79.39425074""], [""-125.0438515"", ""-81.61286579""]]",SAT_SEN_MODE,J,Y,2026-08-16 09:43:28,2026223015632_142_129,142,11-AUG-2026
NISAR_S2_PR_GUNW_025_142_D_128_027_3700_SH_20260718T015758_20260718T015836_20260811T015757_20260811T015835_P00500_M_F_I_001,NISAR_S2_PR_GUNW_025_142_D_128_027_3700_SH_20260718T015758_20260718T015836_20260811T015757_20260811T015835_P00500_M_F_I_001,NISAR_SSAR_GUNW,142,D,128,142_D_128,HH,128,2026223015632,NISAR,Descending,True,5.480236017,11-AUG-2026,2026-08-11T01:57:57Z,5.995901288,2026-08-16T10:55:27,NISAR_S2_PR_GUNW_025_142_D_128_027_3700_SH_20260718T015758_20260718T015836_20260811T015757_20260811T015835_P00500_M_F_I_001,ObsId_Track_Frame,STUCGUFED,NISAR_SSAR_W,5437,-136.2910745,W,41.41300964,247,F,Left,"[[""-139.8137686"", ""-78.39385916""], [""-128.6122098"", ""-79.07242803""], [""-131.5284681"", ""-81.22771311""], [""-145.0056218"", ""-80.41371797""], [""-139.8137686"", ""-78.39385916""]]",-79.84201338,1.4.00,ISRO,Copernicus GLO-30,25,2026223015608,5431,SSAR,"[[""-122.9993008"", ""-79.66051983""], [""-136.4122978"", ""-82.21675687""], [""-149.3390006"", ""-79.48985338""], [""-136.197051"", ""-77.48743799""], [""-122.9993008"", ""-79.66051983""]]",SAT_SEN_MODE,J,Y,2026-08-16 11:09:28,2026223015632_142_128,142,11-AUG-2026
NISAR_S2_PR_GUNW_025_142_D_127_027_3700_SH_20260718T015722_20260718T015801_20260811T015721_20260811T015800_P00500_M_F_I_001,NISAR_S2_PR_GUNW_025_142_D_127_027_3700_SH_20260718T015722_20260718T015801_20260811T015721_20260811T015800_P00500_M_F_I_001,NISAR_SSAR_GUNW,142,D,127,142_D_127,HH,127,2026223015632,NISAR,Descending,True,5.567762474,11-AUG-2026,2026-08-11T01:57:21Z,5.989681308,2026-08-16T08:58:14,NISAR_S2_PR_GUNW_025_142_D_127_027_3700_SH_20260718T015722_20260718T015801_20260811T015721_20260811T015800_P00500_M_F_I_001,ObsId_Track_Frame,STUCGUFED,NISAR_SSAR_W,5437,-133.0430668,W,41.49734497,247,F,Left,"[[""-136.252397"", ""-76.39289248""], [""-126.6780344"", ""-76.98421962""], [""-128.8932816"", ""-79.25106409""], [""-140.2551971"", ""-78.56004212""], [""-136.252397"", ""-76.39289248""]]",-77.85256917,1.4.00,ISRO,Copernicus GLO-30,25,2026223015608,5431,SSAR,"[[""-121.7927122"", ""-77.55730704""], [""-132.4124321"", ""-80.26624918""], [""-144.3587779"", ""-77.68420777""], [""-133.4200808"", ""-75.45969951""], [""-121.7927122"", ""-77.55730704""]]",SAT_SEN_MODE,J,Y,2026-08-16 09:10:26,2026223015632_142_127,142,11-AUG-2026
NISAR_S2_PR_GUNW_025_142_D_126_027_3700_SH_20260718T015647_20260718T015725_20260811T015646_20260811T015724_P00500_M_F_I_001,NISAR_S2_PR_GUNW_025_142_D_126_027_3700_SH_20260718T015647_20260718T015725_20260811T015646_20260811T015724_P00500_M_F_I_001,NISAR_SSAR_GUNW,142,D,126,142_D_126,HH,126,2026223015632,NISAR,Descending,True,5.483689238,11-AUG-2026,2026-08-11T01:56:46Z,5.989951686,2026-08-16T09:31:03,NISAR_S2_PR_GUNW_025_142_D_126_027_3700_SH_20260718T015647_20260718T015725_20260811T015646_20260811T015724_P00500_M_F_I_001,ObsId_Track_Frame,STUCGUFED,NISAR_SSAR_W,5437,-130.6193185,W,41.44496918,247,F,Left,"[[""-133.6807961"", ""-74.39407348""], [""-125.2861816"", ""-74.92981558""], [""-126.8479099"", ""-77.16660432""], [""-136.5299751"", ""-76.56930777""], [""-133.6807961"", ""-74.39407348""]]",-75.80832809,1.4.00,ISRO,Copernicus GLO-30,25,2026223015608,5431,SSAR,"[[""-121.1019043"", ""-75.46383427""], [""-129.5553728"", ""-78.18815991""], [""-140.2828115"", ""-75.76994147""], [""-131.3231398"", ""-73.45205651""], [""-121.1019043"", ""-75.46383427""]]",SAT_SEN_MODE,J,Y,2026-08-16 09:46:12,2026223015632_142_126,142,11-AUG-2026
NISAR_S2_PR_GUNW_025_085_D_130_026_3700_SH_20260714T030538_20260714T030613_20260726T030537_20260726T030612_P00500_M_F_I_001,NISAR_S2_PR_GUNW_025_085_D_130_026_3700_SH_20260714T030538_20260714T030613_20260726T030537_20260726T030612_P00500_M_F_I_001,NISAR_SSAR_GUNW,85,D,130,085_D_130,HH,130,2026207030332,NISAR,Descending,True,5.478082109,26-JUL-2026,2026-07-26T03:05:37Z,5.993408849,2026-07-28T02:53:02,NISAR_S2_PR_GUNW_025_085_D_130_026_3700_SH_20260714T030538_20260714T030613_20260726T030537_20260726T030612_P00500_M_F_I_001,ObsId_Track_Frame,STUCGUFED,NISAR_SSAR_W,5204,-162.9437738,W,41.42556381,247,F,Left,"[[""-166.6469496"", ""-81.78125467""], [""-150.9435329"", ""-82.73462197""], [""-157.090895"", ""-84.67399081""], [""-176.2349187"", ""-83.45114912""], [""-166.6469496"", ""-81.78125467""]]",-83.25079911,1.4.00,ISRO,Copernicus GLO-30,25,2026207030316,5201,SSAR,"[[""-142.3466624"", ""-83.99568504""], [""-176.6522512"", ""-85.23657791""], [""-178.0443186"", ""-81.85766624""], [""-155.7528888"", ""-81.07797704""], [""-142.3466624"", ""-83.99568504""]]",SAT_SEN_MODE,J,Y,2026-07-28 03:06:29,2026207030332_85_130,85,26-JUL-2026
NISAR_S2_PR_GUNW_025_085_D_129_026_3700_SH_20260714T030508_20260714T030541_20260726T030508_20260726T030541_P00500_M_F_I_001,NISAR_S2_PR_GUNW_025_085_D_129_026_3700_SH_20260714T030508_20260714T030541_20260726T030508_20260726T030541_P00500_M_F_I_001,NISAR_SSAR_GUNW,85,D,129,085_D_129,HH,129,2026207030332,NISAR,Descending,True,5.47838465,26-JUL-2026,2026-07-26T03:05:08Z,5.994714698,2026-07-28T01:26:50,NISAR_S2_PR_GUNW_025_085_D_129_026_3700_SH_20260714T030508_20260714T030541_20260726T030508_20260726T030541_P00500_M_F_I_001,ObsId_Track_Frame,STUCGUFED,NISAR_SSAR_W,5204,-157.0847959,W,41.40751648,247,F,Left,"[[""-161.1326885"", ""-80.2508467""], [""-147.7871691"", ""-81.0538993""], [""-151.4220408"", ""-82.9114094""], [""-167.3692953"", ""-81.93931357""], [""-161.1326885"", ""-80.2508467""]]",-81.61160181,1.4.00,ISRO,Copernicus GLO-30,25,2026207030316,5201,SSAR,"[[""-140.983851"", ""-82.19068432""], [""-165.0996986"", ""-83.71798486""], [""-170.2297798"", ""-80.49285704""], [""-152.3298556"", ""-79.42641108""], [""-140.983851"", ""-82.19068432""]]",SAT_SEN_MODE,J,Y,2026-07-28 01:41:37,2026207030332_85_129,85,26-JUL-2026
